Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag",LQW18AN47NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",47nH,±5%,380mA,,0.29Ω,2600MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN4N3C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",4.3nH,±0.2nH,850mA,,0.059Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN4N3D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",4.3nH,±0.5nH,850mA,,0.059Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN4N7D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",4.7nH,±0.5nH,850mA,,0.059Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN51NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",51nH,±2%,370mA,,0.33Ω,2500MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN51NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",51nH,±5%,370mA,,0.33Ω,2500MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN56NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",56nH,±2%,360mA,,0.35Ω,2400MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN56NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",56nH,±5%,360mA,,0.35Ω,2400MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN5N6C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",5.6nH,±0.2nH,750mA,,0.082Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN5N6D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",5.6nH,±0.5nH,750mA,,0.082Ω,6000MHz,LQW18AN_00
