Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N0D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.0nH,±0.5nH,800mA,,0.051Ω,6.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N2C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.2nH,±0.2nH,800mA,,0.051Ω,6.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N2D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.2nH,±0.5nH,800mA,,0.051Ω,6.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N7D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.7nH,±0.5nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N1C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.1nH,±0.2nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N1D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.1nH,±0.5nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N2C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.2nH,±0.2nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N2D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.2nH,±0.5nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N3C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.3nH,±0.2nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N3D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.3nH,±0.5nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N4C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.4nH,±0.2nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N4D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.4nH,±0.5nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N5C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.5nH,±0.2nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N5D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.5nH,±0.5nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N6C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.6nH,±0.2nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N6D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.6nH,±0.5nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N7C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.7nH,±0.2nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N7D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.7nH,±0.5nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N9C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.9nH,±0.2nH,760mA,,0.056Ω,7.7GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N9D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.9nH,±0.5nH,760mA,,0.056Ω,7.7GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N0C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.0nH,±0.2nH,760mA,,0.056Ω,7.7GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N0D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.0nH,±0.5nH,760mA,,0.056Ω,7.7GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N1C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.1nH,±0.2nH,760mA,,0.056Ω,7.7GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N1D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.1nH,±0.5nH,760mA,,0.056Ω,7.7GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N4C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.4nH,±0.2nH,750mA,,0.058Ω,6.8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N4D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.4nH,±0.5nH,750mA,,0.058Ω,6.8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N6C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.6nH,±0.2nH,750mA,,0.058Ω,6.8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N6D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.6nH,±0.5nH,750mA,,0.058Ω,6.8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N7C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.7nH,±0.2nH,750mA,,0.058Ω,6.8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N7D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.7nH,±0.5nH,750mA,,0.058Ω,6.8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N8C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.8nH,±0.2nH,750mA,,0.058Ω,6.8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N8D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.8nH,±0.5nH,750mA,,0.058Ω,6.8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N9C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.9nH,±0.2nH,640mA,,0.079Ω,7.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N9D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.9nH,±0.5nH,640mA,,0.079Ω,7.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N0C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.0nH,±0.2nH,640mA,,0.079Ω,7.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N0D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.0nH,±0.5nH,640mA,,0.079Ω,7.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N1C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.1nH,±0.2nH,640mA,,0.079Ω,7.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N1D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.1nH,±0.5nH,640mA,,0.079Ω,7.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N3C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.3nH,±0.2nH,640mA,,0.079Ω,7.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N3D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.3nH,±0.5nH,640mA,,0.079Ω,7.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N4C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.4nH,±0.2nH,640mA,,0.079Ω,7.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N4D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.4nH,±0.5nH,640mA,,0.079Ω,7.5GHz,LQW15AN_10
