Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN91NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",91nH,±5%,520mA,,0.54Ω,1900MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN94NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",94nH,±2%,490mA,,0.63Ω,1750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN94NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",94nH,±5%,490mA,,0.63Ω,1750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN9N1C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",9.1nH,±0.2nH,1600mA,,0.052Ω,4750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN9N1G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",9.1nH,±2%,1600mA,,0.052Ω,4750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN9N5C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",9.5nH,±0.2nH,1600mA,,0.052Ω,4750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN9N5G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",9.5nH,±2%,1600mA,,0.052Ω,4750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN9N9C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",9.9nH,±0.2nH,1600mA,,0.052Ω,4750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN9N9G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",9.9nH,±2%,1600mA,,0.052Ω,4750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR10G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",100nH,±2%,490mA,,0.63Ω,1750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR10J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",100nH,±5%,490mA,,0.63Ω,1750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR11G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",110nH,±2%,450mA,,0.7Ω,1730MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR11J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",110nH,±5%,450mA,,0.7Ω,1730MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR12G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",120nH,±2%,450mA,,0.72Ω,1650MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR12J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",120nH,±5%,450mA,,0.72Ω,1650MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR15G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",150nH,±2%,420mA,,0.87Ω,1580MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR15J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",150nH,±5%,420mA,,0.87Ω,1580MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR18G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",180nH,±2%,310mA,,1.65Ω,1380MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR18J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",180nH,±5%,310mA,,1.65Ω,1380MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR20G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",200nH,±2%,290mA,,1.74Ω,1350MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR20J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",200nH,±5%,290mA,,1.74Ω,1350MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR21G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",210nH,±2%,280mA,,1.98Ω,1330MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR21J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",210nH,±5%,280mA,,1.98Ω,1330MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR22G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",220nH,±2%,280mA,,2.08Ω,1330MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR22J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",220nH,±5%,280mA,,2.08Ω,1330MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR25G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",250nH,±2%,250mA,,2.28Ω,1330MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR25J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",250nH,±5%,250mA,,2.28Ω,1330MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR27G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",270nH,±2%,260mA,,2.42Ω,1250MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR27J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",270nH,±5%,260mA,,2.42Ω,1250MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR30G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",300nH,±2%,220mA,,3.12Ω,1200MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR30J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",300nH,±5%,220mA,,3.12Ω,1200MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR33G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",330nH,±2%,190mA,,3.84Ω,1100MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR33J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",330nH,±5%,190mA,,3.84Ω,1100MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR36G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",360nH,±2%,190mA,,3.98Ω,1050MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR36J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",360nH,±5%,190mA,,3.98Ω,1050MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR39G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",390nH,±2%,190mA,,4.23Ω,1100MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18ANR39J80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",390nH,±5%,190mA,,4.23Ω,1100MHz,LQW18AN_80
