Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN37NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",37nH,±5%,910mA,,0.20Ω,3000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN39NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",39nH,±2%,1000mA,,0.16Ω,3280MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN39NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",39nH,±5%,1000mA,,0.16Ω,3280MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN3N0C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",3.0nH,±0.2nH,670mA,,0.17Ω,15000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN3N9B80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",3.9nH,±0.1nH,2200mA,,0.028Ω,10000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN3N9C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",3.9nH,±0.2nH,2200mA,,0.028Ω,10000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN3N9G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",3.9nH,±2%,2200mA,,0.028Ω,10000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN41NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",41nH,±2%,1000mA,,0.16Ω,3280MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN41NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",41nH,±5%,1000mA,,0.16Ω,3280MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN43NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",43nH,±2%,840mA,,0.21Ω,2780MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN43NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",43nH,±5%,840mA,,0.21Ω,2780MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN44NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",44nH,±2%,840mA,,0.21Ω,2780MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN44NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",44nH,±5%,840mA,,0.21Ω,2780MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN47NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",47nH,±2%,830mA,,0.23Ω,2700MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN47NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",47nH,±5%,830mA,,0.23Ω,2700MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN48NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",48nH,±2%,830mA,,0.23Ω,2700MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN48NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",48nH,±5%,830mA,,0.23Ω,2700MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N1B80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.1nH,±0.1nH,2200mA,,0.028Ω,10000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N1C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.1nH,±0.2nH,2200mA,,0.028Ω,10000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N1G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.1nH,±2%,2200mA,,0.028Ω,10000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N2B80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.2nH,±0.1nH,2200mA,,0.028Ω,10000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N2C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.2nH,±0.2nH,2200mA,,0.028Ω,10000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N2G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.2nH,±2%,2200mA,,0.028Ω,10000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N3B80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.3nH,±0.1nH,2100mA,,0.036Ω,11600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N3C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.3nH,±0.2nH,2100mA,,0.036Ω,11600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N3G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.3nH,±2%,2100mA,,0.036Ω,11600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N7B80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.7nH,±0.1nH,1500mA,,0.054Ω,10400MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N7C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.7nH,±0.2nH,1500mA,,0.054Ω,10400MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N7G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.7nH,±2%,1500mA,,0.054Ω,10400MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N9B80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.9nH,±0.1nH,1200mA,,0.081Ω,7300MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N9C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.9nH,±0.2nH,1200mA,,0.081Ω,7300MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN4N9G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",4.9nH,±2%,1200mA,,0.081Ω,7300MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN51NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",51nH,±2%,830mA,,0.23Ω,2700MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN51NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",51nH,±5%,830mA,,0.23Ω,2700MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN52NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",52nH,±2%,750mA,,0.27Ω,2750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN52NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",52nH,±5%,750mA,,0.27Ω,2750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN56NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",56nH,±2%,770mA,,0.26Ω,2600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN56NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",56nH,±5%,770mA,,0.26Ω,2600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN58NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",58nH,±2%,700mA,,0.30Ω,2400MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN58NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",58nH,±5%,700mA,,0.30Ω,2400MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN5N6C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",5.6nH,±0.2nH,1900mA,,0.04Ω,6650MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN5N6G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",5.6nH,±2%,1900mA,,0.040Ω,6650MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN68NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",68nH,±2%,630mA,,0.38Ω,2380MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN68NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",68nH,±5%,630mA,,0.38Ω,2380MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN69NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",69nH,±2%,630mA,,0.38Ω,2380MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN69NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",69nH,±5%,630mA,,0.38Ω,2380MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN6N0C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",6.0nH,±0.2nH,1900mA,,0.04Ω,6650MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN6N0G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",6nH,±2%,1900mA,,0.040Ω,6650MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN6N5C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",6.5nH,±0.2nH,1900mA,,0.04Ω,6650MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN6N5G80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",6.5nH,±2%,1900mA,,0.040Ω,6650MHz,LQW18AN_80
