Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	Multilayer",LQG15HN10NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",10nH,±2%,500mA,,0.29Ω,3200MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN10NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",10nH,±3%,500mA,,0.29Ω,3200MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN10NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",10nH,±5%,500mA,,0.29Ω,3200MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN12NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",12nH,±2%,400mA,,0.4Ω,2800MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN12NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",12nH,±3%,400mA,,0.4Ω,2800MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN12NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",12nH,±5%,400mA,,0.4Ω,2800MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN15NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",15nH,±2%,400mA,,0.45Ω,2300MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN15NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",15nH,±3%,400mA,,0.45Ω,2300MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN15NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",15nH,±5%,400mA,,0.45Ω,2300MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN18NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",18nH,±2%,350mA,,0.51Ω,2100MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN18NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",18nH,±3%,350mA,,0.51Ω,2100MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN18NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",18nH,±5%,350mA,,0.51Ω,2100MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN1N0B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.0nH,±0.1nH,1000mA,,0.07Ω,6000MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN1N0C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.0nH,±0.2nH,1000mA,,0.07Ω,6000MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN1N0S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.0nH,±0.3nH,1000mA,,0.07Ω,6000MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN1N1B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.1nH,±0.1nH,1000mA,,0.08Ω,6000MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN1N1C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.1nH,±0.2nH,1000mA,,0.08Ω,6000MHz,LQG15HN_02
"In Production","General	125℃	Multilayer",LQG15HN1N1S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.1nH,±0.3nH,1000mA,,0.08Ω,6000MHz,LQG15HN_02
