Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	140℃	WoundNonmag",LQW15AW51NG80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",51nH,±2%,480mA,,0.47Ω,2.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW51NH80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",51nH,±3%,480mA,,0.47Ω,2.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW51NJ80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",51nH,±5%,480mA,,0.47Ω,2.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW53NG80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",53nH,±2%,480mA,,0.47Ω,2.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW53NH80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",53nH,±3%,480mA,,0.47Ω,2.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW53NJ80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",53nH,±5%,480mA,,0.47Ω,2.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW56NG80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",56nH,±2%,480mA,,0.52Ω,2.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW56NH80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",56nH,±3%,480mA,,0.52Ω,2.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW56NJ80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",56nH,±5%,480mA,,0.52Ω,2.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW68NG80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",68nH,±2%,480mA,,0.56Ω,1.8GHz,LQW15AW_80
