Status,Features,Part number # indicates the package specification code.,L size,W size,T size,Size code inch (mm),Inductance,Inductance Tolerance,Rated Current (Itemp),Rated Current (Isat),Rdc (max.),SRF (min.),Series
In Production,"General,125?,WoundNonmag",LQW15AN36NH00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),36nH,±3%,260mA,,0.63?,3.1GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN36NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),36nH,±5%,260mA,,0.63?,3.1GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN39NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),39nH,±2%,250mA,,0.70?,3.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN39NH00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),39nH,±3%,250mA,,0.70?,3.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN39NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),39nH,±5%,250mA,,0.70?,3.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N0B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.0nH,±0.1nH,750mA,,0.07?,15.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N0C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.0nH,±0.2nH,750mA,,0.07?,15.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N0D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.0nH,±0.5nH,750mA,,0.07?,15.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N1B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.1nH,±0.1nH,570mA,,0.13?,14.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N1C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.1nH,±0.2nH,570mA,,0.13?,14.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N1D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.1nH,±0.5nH,570mA,,0.13?,14.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N2B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.2nH,±0.1nH,500mA,,0.17?,14.0GHz,LQW15AN_00
