Status,Features,Part number # indicates the package specification code.,L size,W size,T size,Size code inch (mm),Inductance,Inductance Tolerance,Rated Current (Itemp),Rated Current (Isat),Rdc (max.),SRF (min.),Series
In Production,"General,125?,WoundNonmag",LQW15AN6N9H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.9nH,±3%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N9J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.9nH,±5%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN72NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),72nH,±2%,135mA,,2.10?,2.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN72NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),72nH,±5%,135mA,,2.10?,2.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN75NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),75nH,±2%,135mA,,2.10?,2.4GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN75NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),75nH,±5%,135mA,,2.10?,2.4GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N0G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.0nH,±2%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N0H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.0nH,±3%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N0J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.0nH,±5%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N1G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.1nH,±2%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N1H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.1nH,±3%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N1J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.1nH,±5%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N2G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.2nH,±2%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N2H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.2nH,±3%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N2J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.2nH,±5%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N3G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.3nH,±2%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N3H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.3nH,±3%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N3J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.3nH,±5%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N5G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.5nH,±2%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N5H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.5nH,±3%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN7N5J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),7.5nH,±5%,570mA,,0.13?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN82NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),82nH,±2%,130mA,,2.24?,2.3GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN82NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),82nH,±5%,130mA,,2.24?,2.3GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N2G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.2nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N2H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.2nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N2J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.2nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N6G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.6nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N6H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.6nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N6J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.6nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N7G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.7nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N7H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.7nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N7J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.7nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N8G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.8nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N8H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.8nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N8J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.8nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N9G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.9nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N9H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.9nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN8N9J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),8.9nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN91NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),91nH,±2%,125mA,,2.38?,2.1GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN91NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),91nH,±5%,125mA,,2.38?,2.1GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N0G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.0nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N0H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.0nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N0J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.0nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N1G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.1nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N1H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.1nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N1J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.1nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N2G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.2nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N2H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.2nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N2J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.2nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N3G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.3nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N3H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.3nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N3J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.3nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N4G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.4nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N4H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.4nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N4J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.4nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N5G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.5nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N5H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.5nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N5J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.5nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N6G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.6nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N6H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.6nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N6J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.6nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N7G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.7nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N7H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.7nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N7J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.7nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N8G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.8nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N8H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.8nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N8J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.8nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N9G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.9nH,±2%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N9H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.9nH,±3%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN9N9J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),9.9nH,±5%,540mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15ANR10J00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),100nH,±5%,120mA,,2.52?,1.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15ANR12J00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),120nH,±5%,110mA,,2.66?,1.0GHz,LQW15AN_00
