Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN10NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",10nH,±2%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN10NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",10nH,±5%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN11NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",11nH,±2%,1400mA,,0.083Ω,6.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN11NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",11nH,±5%,1400mA,,0.083Ω,6.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN12NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",12nH,±2%,1240mA,,0.093Ω,5.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN12NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",12nH,±5%,1240mA,,0.093Ω,5.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN13NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",13nH,±2%,1240mA,,0.093Ω,5.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN13NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",13nH,±5%,1240mA,,0.093Ω,5.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN14NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",14nH,±2%,1150mA,,0.111Ω,5.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN14NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",14nH,±5%,1150mA,,0.111Ω,5.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN15NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",15nH,±2%,1150mA,,0.114Ω,5.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN15NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",15nH,±5%,1150mA,,0.114Ω,5.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN16NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",16nH,±2%,1000mA,,0.126Ω,5.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN16NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",16nH,±5%,1000mA,,0.126Ω,5.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN17NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",17nH,±2%,1000mA,,0.126Ω,5.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN17NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",17nH,±5%,1000mA,,0.126Ω,5.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN18NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",18nH,±2%,1050mA,,0.130Ω,5.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN18NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",18nH,±5%,1050mA,,0.130Ω,5.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN19NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",19nH,±2%,920mA,,0.156Ω,5.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN19NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",19nH,±5%,920mA,,0.156Ω,5.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N3C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.3nH,±0.2nH,3150mA,,0.012Ω,18.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N3D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.3nH,±0.5nH,3150mA,,0.012Ω,18.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N5C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.5nH,±0.2nH,2100mA,,0.028Ω,18.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N5D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.5nH,±0.5nH,2100mA,,0.028Ω,18.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N6C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.6nH,±0.2nH,1450mA,,0.045Ω,18.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N6D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.6nH,±0.5nH,1450mA,,0.045Ω,18.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N7C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.7nH,±0.2nH,1150mA,,0.065Ω,18.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N7D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.7nH,±0.5nH,1150mA,,0.065Ω,18.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN20NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",20nH,±2%,800mA,,0.186Ω,4.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN20NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",20nH,±5%,800mA,,0.186Ω,4.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN21NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",21nH,±2%,780mA,,0.202Ω,4.5GHz,LQW15AN_80
