Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN21NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",21nH,±5%,780mA,,0.202Ω,4.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN22NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",22nH,±2%,780mA,,0.202Ω,4.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN22NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",22nH,±5%,780mA,,0.202Ω,4.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN23NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",23nH,±2%,760mA,,0.201Ω,4.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN23NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",23nH,±5%,760mA,,0.201Ω,4.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN24NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",24nH,±2%,770mA,,0.212Ω,4.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN24NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",24nH,±5%,770mA,,0.212Ω,4.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN25NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",25nH,±2%,750mA,,0.221Ω,4.1GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN25NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",25nH,±5%,750mA,,0.221Ω,4.1GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN26NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",26nH,±2%,720mA,,0.282Ω,4.1GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN26NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",26nH,±5%,720mA,,0.282Ω,4.1GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN27NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",27nH,±2%,680mA,,0.288Ω,4.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN27NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",27nH,±5%,680mA,,0.288Ω,4.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N2B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.2nH,±0.1nH,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N2C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.2nH,±0.2nH,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N2D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.2nH,±0.5nH,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N2G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.2nH,±2%,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N3B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.3nH,±0.1nH,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N3C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.3nH,±0.2nH,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N3D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.3nH,±0.5nH,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N3G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.3nH,±2%,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N4B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.4nH,±0.1nH,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N4C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.4nH,±0.2nH,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N4D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.4nH,±0.5nH,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N4G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.4nH,±2%,2530mA,,0.022Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N5B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.5nH,±0.1nH,2100mA,,0.030Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N5C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.5nH,±0.2nH,2100mA,,0.030Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N5D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.5nH,±0.5nH,2100mA,,0.030Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N5G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.5nH,±2%,2100mA,,0.030Ω,15.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N6B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.6nH,±0.1nH,1950mA,,0.035Ω,14.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N6C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.6nH,±0.2nH,1950mA,,0.035Ω,14.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N6D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.6nH,±0.5nH,1950mA,,0.035Ω,14.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N6G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.6nH,±2%,1950mA,,0.035Ω,14.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N7B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.7nH,±0.1nH,1500mA,,0.047Ω,14.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N7C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.7nH,±0.2nH,1500mA,,0.047Ω,14.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N7D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.7nH,±0.5nH,1500mA,,0.047Ω,14.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N7G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.7nH,±2%,1500mA,,0.047Ω,14.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N8B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.8nH,±0.1nH,1500mA,,0.047Ω,13.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N8C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.8nH,±0.2nH,1500mA,,0.047Ω,13.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N8D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.8nH,±0.5nH,1500mA,,0.047Ω,13.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N8G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.8nH,±2%,1500mA,,0.047Ω,13.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N9B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.9nH,±0.1nH,1500mA,,0.047Ω,12.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N9C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.9nH,±0.2nH,1500mA,,0.047Ω,12.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N9D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.9nH,±0.5nH,1500mA,,0.047Ω,12.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N9G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.9nH,±2%,1500mA,,0.047Ω,12.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN30NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",30nH,±2%,660mA,,0.309Ω,3.8GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN30NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",30nH,±5%,660mA,,0.309Ω,3.8GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN33NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",33nH,±2%,620mA,,0.336Ω,3.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN33NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",33nH,±5%,620mA,,0.336Ω,3.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN36NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",36nH,±2%,540mA,,0.431Ω,3.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN36NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",36nH,±5%,540mA,,0.431Ω,3.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN39NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",39nH,±2%,530mA,,0.456Ω,3.4GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN39NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",39nH,±5%,530mA,,0.456Ω,3.4GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N0B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3nH,±0.1nH,1350mA,,0.063Ω,12.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N0C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3nH,±0.2nH,1350mA,,0.063Ω,12.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N0D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3nH,±0.5nH,1350mA,,0.063Ω,12.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N0G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.0nH,±2%,1350mA,,0.063Ω,12.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N3B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.3nH,±0.1nH,2000mA,,0.030Ω,14.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N3C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.3nH,±0.2nH,2000mA,,0.030Ω,14.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N3D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.3nH,±0.5nH,2000mA,,0.030Ω,14.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N3G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.3nH,±2%,2000mA,,0.030Ω,14.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N4B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.4nH,±0.1nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N4C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.4nH,±0.2nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N4D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.4nH,±0.5nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N4G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.4nH,±2%,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N5B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.5nH,±0.1nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N5C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.5nH,±0.2nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N5D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.5nH,±0.5nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N5G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.5nH,±2%,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N6B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.6nH,±0.1nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N6C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.6nH,±0.2nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N6D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.6nH,±0.5nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N6G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.6nH,±2%,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N7B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.7nH,±0.1nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N7C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.7nH,±0.2nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
