Status,Characteristic,Shape,"Part number (#:Packing code)","L size","W size","T size","Temperature   characteristics","Rated   voltage",Capacitance,"Tolerance   of   capacitance",Notes
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A360GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,36pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A360JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,36pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A390GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,39pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A390JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,39pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A430GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,43pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A430JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,43pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A470GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,47pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A470JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,47pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D100GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,10pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D100JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,10pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D110GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,11pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D110JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,11pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D120GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,12pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D120JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,12pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D130GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,13pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D130JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,13pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D150GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,15pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D150JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,15pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D160GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,16pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D160JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,16pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D180GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,18pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D180JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,18pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R0BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.0pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R0CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.0pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R1BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.1pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R1CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.1pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R2BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.2pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R2CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.2pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R3BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.3pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R3CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.3pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R5BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.5pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R5CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.5pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R6BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.6pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R6CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.6pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R8BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.8pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D1R8CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,1.8pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D200GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,20pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D200JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,20pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D220GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,22pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D220JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,22pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D240GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,24pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D240JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,24pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D270GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,27pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D270JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,27pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D2R0BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,2.0pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D2R0CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,2.0pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D2R2BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,2.2pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D2R2CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,2.2pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D2R4BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,2.4pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D2R4CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,2.4pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D2R7BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,2.7pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D2R7CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,2.7pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D300GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,30pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D300JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,30pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D330GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,33pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D330JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,33pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D3R0BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,3.0pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D3R0CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,3.0pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D3R3BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,3.3pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D3R3CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,3.3pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D3R6BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,3.6pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D3R6CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,3.6pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D3R9BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,3.9pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D3R9CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,3.9pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D4R0BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,4.0pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D4R0CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,4.0pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D4R3BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,4.3pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D4R3CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,4.3pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D4R7BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,4.7pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D4R7CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,4.7pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D5R0BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,5.0pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D5R0CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,5.0pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D5R1BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,5.1pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D5R1CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,5.1pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D5R6BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,5.6pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D5R6CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,5.6pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D6R0BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,6.0pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D6R0CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,6.0pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D6R2BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,6.2pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D6R2CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,6.2pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D6R8BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,6.8pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D6R8CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,6.8pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D7R0BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,7.0pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D7R0CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,7.0pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D7R5BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,7.5pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D7R5CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,7.5pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D8R0BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,8.0pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D8R0CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,8.0pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D8R2BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,8.2pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D8R2CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,8.2pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D9R0BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,9.0pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D9R0CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,9.0pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D9R1BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,9.1pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D9R1CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,9.1pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR10BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.10pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR20BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.20pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR30BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.30pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR30CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.30pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR40BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.40pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR40CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.40pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR50BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.50pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR50CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.50pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR60BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.60pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR60CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.60pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR70BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.70pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR70CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.70pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR75BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.75pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR75CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.75pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR80BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.80pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR80CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.80pF,±0.25pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR90BB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.90pF,±0.1pF,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2DR90CB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,0.90pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E100GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,10pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E100JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,10pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E110GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,11pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E110JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,11pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E120GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,12pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E120JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,12pF,±5%,
